"Round","Grand_Prix","Hamilton_Finish","Hamilton_Points","Verstappen_Finish","Verstappen_Points"
1,"Bahrain",1,25,2,18
2,"Emilia-Romagna",2,18,1,25
3,"Portugal",1,25,2,18
4,"Spain",1,25,2,18
5,"Monaco",7,6,1,25
6,"Azerbaijan",15,0,18,0
7,"France",2,18,1,25
8,"Styria",2,18,1,25
9,"Austria",4,12,1,25
10,"Britain",1,25,1,25
11,"Hungary",2,18,9,2
12,"Belgium",3,15,1,25
13,"Netherlands",2,18,1,25
14,"Italy",NA,0,2,18
15,"Russia",1,25,2,18
16,"Turkey",5,10,2,18
17,"USA",2,18,1,25
18,"Mexico City",2,18,1,25
19,"Ṣo Paulo",1,25,22,0
20,"Qatar",1,25,2,18
21,"Saudi Arabia",1,25,2,18
22,"Abu Dhabi",2,18,1,25
